Datetime,Ta,Tg,Twb,MRT,RH,V,WBGT,ET
2025-02-11 13:33:27,25.1,25.2,25.2,25.3,64.36,0.12,25.2,25.96
2025-02-11 13:34:27,25.1,25.2,25.2,25.2,64.36,0.0,25.2,25.96
2025-02-11 13:35:27,25.1,25.2,25.2,25.3,64.36,0.1,25.2,25.96
2025-02-11 13:36:27,25.1,25.1,25.1,25.1,64.36,0.06,25.1,25.96
2025-02-11 13:37:27,25.1,25.1,25.1,25.1,64.76,0.08,25.1,25.99
2025-02-11 13:38:27,25.1,25.1,25.2,25.1,64.76,0.09,25.17,25.99
2025-02-11 13:39:27,25.1,25.1,25.2,25.1,64.76,0.05,25.17,25.99
2025-02-11 13:40:27,25.0,25.1,25.2,25.2,64.74,0.11,25.17,25.96
2025-02-11 13:41:27,25.0,25.1,25.2,25.2,64.74,0.12,25.17,25.96
2025-02-11 13:42:27,25.1,25.1,25.1,25.1,64.36,0.0,25.1,25.96
2025-02-11 13:43:27,25.1,25.1,25.2,25.1,63.95,0.04,25.17,25.94
2025-02-11 13:44:27,25.1,25.1,25.2,25.1,63.95,0.07,25.17,25.94
2025-02-11 13:45:27,25.1,25.1,25.2,25.1,63.95,0.0,25.17,25.94
2025-02-11 13:46:27,25.1,25.1,25.2,25.1,63.95,0.1,25.17,25.94
2025-02-11 13:47:27,25.1,25.1,25.1,25.1,63.95,0.1,25.1,25.94
2025-02-11 13:48:27,25.1,25.1,25.2,25.1,63.95,0.12,25.17,25.94
2025-02-11 13:49:27,25.1,25.1,25.1,25.1,63.95,0.04,25.1,25.94
2025-02-11 13:50:27,25.1,25.1,25.2,25.1,63.95,0.19,25.17,25.94
2025-02-11 13:51:27,25.1,25.1,25.2,25.1,63.95,0.03,25.17,25.94
2025-02-11 13:52:27,25.1,25.1,25.2,25.1,63.95,0.04,25.17,25.94
2025-02-11 13:53:27,25.1,25.1,25.2,25.1,63.95,0.15,25.17,25.94
2025-02-11 13:54:27,25.1,25.1,25.2,25.1,63.95,0.06,25.17,25.94
2025-02-11 13:55:27,25.1,25.1,25.2,25.1,65.17,0.02,25.17,26.01
2025-02-11 13:56:27,25.1,25.1,25.1,25.1,65.17,0.0,25.1,26.1
2025-02-11 13:57:27,25.1,25.1,25.2,25.1,65.17,0.08,25.17,26.1
2025-02-11 13:58:27,25.0,25.1,25.2,25.1,64.74,0.07,25.17,25.96
2025-02-11 13:59:27,25.1,25.1,25.1,25.1,64.36,0.11,25.1,25.96
2025-02-11 14:00:27,25.1,25.1,25.2,25.1,64.36,0.09,25.17,25.96
2025-02-11 14:01:27,25.3,25.1,25.2,24.9,64.81,0.16,25.17,26.12
2025-02-11 14:02:27,25.2,25.2,25.2,25.2,65.19,0.11,25.2,26.12
2025-02-11 14:03:27,25.2,25.2,25.2,25.2,65.19,0.17,25.2,26.12
2025-02-11 14:04:27,25.2,25.1,25.2,25.0,65.19,0.11,25.17,26.12
2025-02-11 14:05:27,25.2,25.2,25.2,25.2,65.19,0.14,25.2,26.12
2025-02-11 14:06:27,25.1,25.2,25.2,25.3,65.58,0.15,25.2,26.12
2025-02-11 14:07:27,25.1,25.2,25.2,25.3,66.41,0.21,25.2,26.17
2025-02-11 14:08:27,25.1,25.2,25.2,25.3,66.41,0.14,25.2,26.17
2025-02-11 14:09:27,25.2,25.2,25.2,25.2,66.02,0.2,25.2,26.17
2025-02-11 14:10:27,25.1,25.2,25.2,25.3,66.0,0.15,25.2,26.14
2025-02-11 14:11:27,25.1,25.1,25.2,25.1,66.0,0.09,25.17,26.14
2025-02-11 14:12:27,25.1,25.1,25.2,25.1,66.0,0.0,25.17,26.14
2025-02-11 14:13:27,25.1,25.2,25.2,25.3,66.83,0.16,25.2,26.19
2025-02-11 14:14:27,25.1,25.2,25.2,25.2,66.83,0.07,25.2,26.19
2025-02-11 14:15:27,25.2,25.2,25.2,25.2,66.43,0.07,25.2,26.19
2025-02-11 14:16:27,25.2,25.2,25.2,25.2,66.02,0.18,25.2,26.17
2025-02-11 14:17:27,25.1,25.2,25.2,25.3,66.41,0.1,25.2,26.17
2025-02-11 14:18:27,25.2,25.1,25.2,25.1,66.02,0.0,25.17,26.17
2025-02-11 14:19:27,25.3,25.2,25.2,25.2,66.45,0.04,25.2,26.21
2025-02-11 14:20:27,25.1,25.2,25.2,25.3,67.25,0.15,25.2,26.21
2025-02-11 14:21:27,25.2,25.2,25.2,25.2,66.85,0.11,25.2,26.21
